#    2*theta     Intensity  
   6.1250000       0.0000000   
   6.1295000       0.0000000   
   6.1340000       0.0000000   
   6.1385000       0.0000000   
   6.1430000       0.0000000   
   6.1475000       0.0000000   
   6.1520000       0.0000000   
   6.1565000       0.0000000   
   6.1610000       0.0000000   
   6.1655000       0.0000000   
   6.1700000       0.0000000   
   6.1745000       0.0000000   
   6.1790000       0.0000000   
   6.1835000       0.0000000   
   6.1880000       0.0000000   
   6.1925000       0.0000000   
   6.1970000       0.0000000   
   6.2015000       0.0000000   
   6.2060000       0.0000000   
   6.2105000       0.0000000   
   6.2150000       0.0000000   
   6.2195000       0.0000000   
   6.2240000       0.0000000   
   6.2285000       0.0000000   
   6.2330000       0.0000000   
   6.2375000       0.0000000   
   6.2420000       0.0000000   
   6.2465000       0.0000000   
   6.2510000       0.0000000   
   6.2555000       0.0000000   
   6.2600000       0.0000000   
   6.2645000       0.0000000   
   6.2690000       0.0000000   
   6.2735000       0.0000000   
   6.2780000       0.0000000   
   6.2825000       0.0000000   
   6.2870000       0.0000000   
   6.2915000       0.0000000   
   6.2960000       0.0000000   
   6.3005000       0.0000000   
   6.3050000       0.0000000   
   6.3095000       0.0000000   
   6.3140000       0.0000000   
   6.3185000       0.0000000   
   6.3230000       0.0000000   
   6.3275000       0.0000000   
   6.3320000       0.0000000   
   6.3365000       0.0000000   
   6.3410000       0.0000000   
   6.3455000       0.0000000   
   6.3500000       0.0000000   
   6.3545000       0.0000000   
   6.3590000       0.0000000   
   6.3635000       0.0000000   
   6.3680000       0.0000000   
   6.3725000       0.0000000   
   6.3770000       0.0000000   
   6.3815000       0.0000000   
   6.3860000       0.0000000   
   6.3905000       0.0000000   
   6.3950000       0.0000000   
   6.3995000       0.0000000   
   6.4040000       0.0000000   
   6.4085000       0.0000000   
   6.4130000       0.0000000   
   6.4175000       0.0000000   
   6.4220000       0.0000000   
   6.4265000       0.0000000   
   6.4310000       0.0000000   
   6.4355000       0.0000000   
   6.4400000       0.0000000   
   6.4445000       0.0000000   
   6.4490000       0.0000000   
   6.4535000       0.0000000   
   6.4580000       0.0000000   
   6.4625000       0.0000000   
   6.4670000       0.0000000   
   6.4715000       0.0000000   
   6.4760000       0.0000000   
   6.4805000       0.0000000   
   6.4850000       0.0000000   
   6.4895000       0.0000000   
   6.4940000       0.0000000   
   6.4985000       0.0000000   
   6.5030000       0.0000000   
   6.5075000       0.0000000   
   6.5120000       0.0000000   
   6.5165000       0.0000000   
   6.5210000       0.0000000   
   6.5255000       0.0000000   
   6.5300000       0.0000000   
   6.5345000       0.0000000   
   6.5390000       0.0000000   
   6.5435000       0.0000000   
   6.5480000       0.0000000   
   6.5525000       0.0000000   
   6.5570000       0.0000000   
   6.5615000       0.0000000   
   6.5660000       0.0000000   
   6.5705000       0.0000000   
   6.5750000       0.0000000   
   6.5795000       0.0000000   
   6.5840000       0.0000000   
   6.5885000       0.0000000   
   6.5930000       0.0000000   
   6.5975000       0.0000000   
   6.6020000       0.0000000   
   6.6065000       0.0000000   
   6.6110000       0.0000000   
   6.6155000       0.0000000   
   6.6200000       0.0000000   
   6.6245000       0.0000000   
   6.6290000       0.0000000   
   6.6335000       0.0000000   
   6.6380000       0.0000000   
   6.6425000       0.0000000   
   6.6470000       0.0000000   
   6.6515000       0.0000000   
   6.6560000       0.0000000   
   6.6605000       0.0000000   
   6.6650000       0.0000000   
   6.6695000       0.0000000   
